run_number,alpha,sink_state_1,threshold_val,logistic,update_algorithm,num_nodes,percent_grammar_1,simulation_limit,initial_gamma,deterministic_gamma,gamma_sd,gamma_with_age,gamma_cost,initial_gamma_based_on_age,deterministic_age,cohort1_age,age_sd,percent_cohort2,cohort2_age,chance_listen_to_outgroup,cohort_based_grammar,c1_percent_grammar_1,c2_percent_grammar_1,step,mean_state_of_nodes
2261,0,TRUE,0.3,TRUE,reward,40,45,1000,0.06,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00138713075593441
2263,0,TRUE,0.3,TRUE,reward,40,60,1000,0.06,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.6235089683245673
2265,0,TRUE,0.3,TRUE,reward,40,80,1000,0.06,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9969783316885952
2262,0,TRUE,0.3,TRUE,reward,40,50,1000,0.06,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.1986534622452687
2268,0,TRUE,0.3,TRUE,reward,40,20,1000,0.07,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01197943865966166
2266,0,TRUE,0.3,TRUE,reward,40,90,1000,0.06,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9995092932114056
2264,0,TRUE,0.3,TRUE,reward,40,70,1000,0.06,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9986935390441264
2267,0,TRUE,0.3,TRUE,reward,40,10,1000,0.07,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.01712620471406161
2259,0,TRUE,0.3,TRUE,reward,40,35,1000,0.06,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.08980199222474539
2270,0,TRUE,0.3,TRUE,reward,40,35,1000,0.07,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.0033389682125784
2269,0,TRUE,0.3,TRUE,reward,40,30,1000,0.07,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.00539867430068094
2273,0,TRUE,0.3,TRUE,reward,40,50,1000,0.07,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.8607529083319566
2272,0,TRUE,0.3,TRUE,reward,40,45,1000,0.07,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.4269095739714045
2271,0,TRUE,0.3,TRUE,reward,40,40,1000,0.07,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.12393067328800587
2274,0,TRUE,0.3,TRUE,reward,40,60,1000,0.07,TRUE,0.01,is-constant,1,FALSE,TRUE,0,30,0,200,1,FALSE,20,80,1000,0.9900763428687837
